Clases were useful, but the grading system is not that fair.
수업 중 안내가 두리뭉실할 때가 많습니다. 영어 못하는 사람도 많이 들어서 소통도 좀 힘들었고요.. A0는 쉽게 나오는데 A+ 받긴 좀 빡셀듯
대충해서 성적 받을 수 있는 과목은 아님기본적인 스피킹 라이팅 안 되면 버거울 수 있음과제 양이 엄청 많진 않음시험은 없고 4번의 큰 과제 + 작은 과제들(짧은 글 주시고 소감문/질문에 대한 답문) + (출석)으로 성적 주시는데 너그럽진 않으신 듯다만 철저하게 가이드 따르면 A+ 받을 수 있음교수님도 좋은 분 같음!!진정으로 학생들이 비즈니스 월드에서 영어로 소통하는 기본적인 루브릭들을 배워갔으면 하시는 게 느껴짐실제로 실무적 차원에서 응용할 수 있을 듯한 것들 배워서 유익했음
영어 못하시면 비추입니다. 한학기 동안 이메일 쓰기, 전화통화하기, 미팅하기가 있는데 이메일 제외 다 팀플입니다. 외국인 유학생들도 있어서 영어 못하면 조금 따라가기 어려울것 같습니다. 대신 성적은 영어 능력보단 루브릭에 맞게 했는지를 더 보는것 같아요.
일단! 영어 배우고 싶으신분? 가지마세요 영어 안된다고 봐주지 않은 교수님입니다. 오티때도 영어가 안되면 수강 포기하시라고 합니다.시험이 없는 대신 과제가 몇개 있는데 총 4개라고 보시면 됩니다. 1. 비즈니스 세계에서 쓰는 이메일 양식 쓰기(제일 길고 제일 할거 좀 많음). 2.전화하는 방법 (파트너랑 전화해서 녹음한 다음 교수님께 제출 대본 써도 됨 진짜 ㄹㅇ 통화해야함 아이폰 유저들 주의). 3.비즈니스 미팅하는 방법(이건 팀플입니다. 교수님이 주제를 던저주시면 그 주제 관해 약간 토론을 한다고 생각하면 됩니다 대본X. 그리고 이거 평가 하는게 개인이 아닌 팀 평가라 본인이 아무리 잘해도 팀도 잘 해야 점수 잘 받습니다)4. 메모 쓰기. 학교 알림판 같은데 공지사항 아시죠? 그걸 영어로 쓴다고 생각하시면 됩니다. 교수님이 주신 양식대로 쓰시면 평 잘 받음!파트너,팀은 랜덤 배정입니다. 교수님이 다 짜요.조금 귀찮은 수업이긴 하지만 양식대로 하면 무난하게 A제로는 받을수 있어요 근데.. A+ 진짜 열심히 해야 받을수 있습니다.
A0는 받기 쉽지만 A+은 받기 어려운 수업이에요. 교수님이 스스로 수업시간에 A를 70프로 이상 주신다고 하셨습니다. 하지만 수업 난이도가 워낙 어렵고 외국인 학생도 꽤 듣는 수업이기 때문에 영어를 배우려고 오시는 분은 지양하시는게 좋을 것 같아요.. 이미 영어를 자유롭게 구사하실 수 있거나 영어에 자신감이 충분히 있고, 비즈니스 영어 양식을 제대로 배워보고 싶으신 분에게만 추천합니다. 저는 개인적으로 비즈니스 영어 메일, 미팅, 메모, 전화 등에 쓰는 표현과 양식을 전문적으로 배울 수 있어서 좋았고 많이 얻어가는 수업이었어요! 성적이 생각보다 짤 수 있지만 그만큼 과제를 열심히 하는 과정에서 배워가는게 많았기 때문에 만족합니다 :)
제가 정말 많은 유익한 지식을 얻고 가는 수업입니다. 개인과제는 잘했는데 팀플은 점수가 잘 안 나와 에제만 받아서 좀 아쉬었어요..
ㅋㅋ걍 교수가 님 성적 부수려고 작정합니다 절대듣지마세요
본인이 영어로 말하고 쓰는게 어느 정도 된다면 추천 아니라면 좀 더 배우고 하시고나 다른 걸로 영역 체우세요. 나쁘지는 않았음 대체로
이번 학기에 이 과목만 에제맞고 나머지는 에쁠맞았습니다 LMS상에서 95 이상이라 안심했는데 에제라 점수를 손수 계산해보니 94.8정도 나오더라고요 교수님 정말 깐깐하시고 칼절평입니다 저는 수업도 맘에 들었고 팀플하면서 좋은 분들도 만났지만 기준 맞추는데 좀 피곤했어요
과제가 총 4번이고 여기서 받은 점수들의 합으로 절대평가 이루어집니다. 95점부터 에이쁠이라서 1점이 소중하니 정말 신중하게 검토해야됩니다. (맞춤법, 문서 양식 등) 수업 시간은 어렵지 않지만 매번 팀을 짜서 토론을 해야 되서 신경이 쓰이긴 했습니다. 중간기말은 없어서 편했고 깐깐하셔서 절평이지만 쉽게 볼수는 없다고 할 수 있습니다.
ㄹㅇ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ절대 듣지마세요 과제 빠짐없이 고생해서 냈는데 B+???영어 못하셔서 배우려는 마인드로 오지마세요 그냥 대학은 기업 학원이 맞는듯해요 최소 유학다녀오신 분이 오셔서 학점 받아가세요!!
배우는 내용이 별로 어렵지 않았고 다만 과제가 좀 많아서 귀찮긴 했다. 과제할때는 rubric을 잘 따르면 그대로 점수를 주심. 가끔 채점 사항이 좀 모호할때가 있지만 여쭈어보면 설명을 잘 해주심.
절평 교양에서 A0를 받을 줄이야... 글로벌언어 영역 채워야해서 억지로 들었는데 역시나 너무 어렵네요. 시키는 내용들 중에 어려운 것은 없으나 수업 내용을 하나도 못 알아들으니 힘드네요.. 영어 잘 하는 친구와 같이 들으시길 추천합니다.
교수님 굉장히 친절하시고 질문도 잘 받아주십니다학점을 떠나서 아주 많은 것을 배울 수 있던 수업입니다
큰 과제 4번, 영어로 글을 쓰고 말을 하는 법을 배울 수 있었다. 온라인이라서 조별 과제가 쉽지는 않았지만, 나름대로 블랙보드로 잘 할 수 있었다. 질문에 대해 잘 답변해주시는게 정말 좋았다.
과제가 많긴 하다. 근데 이거 과제할때는 겁나 욕하면서 했었는데 나중에 내가 진짜 영어로 업무메일을 쓸때 정말 도움이 많이 되었다.해외 영업이나 마케팅 쪽을 생각한다면 무조건 추천이다. 인생에 무조건 쓸일이 있을것이다. 시험은 없고 다 발표다. 큰 과제가 4번 있음. 그중 발표 두번. 교수님이 주신 evaluatiom 표만 보고 잘 따라가면 에이 이상은 받음. 추천한다
열심히한만큼 학점도 잘나옵니다. 영전 특성상 교수님이 주신 템플릿을 그대로 반영해서 과제를 하면 성적 보장되는거 같아요. 그리고 질문하는것도 친절하게 답해주시고, 과제 첨삭도 빠르고 자세하게 해주셔서 그걸 바탕으로 최종과제 제출하시면 만점 가능합니다.
온라인 수업이었지만 블랙보드 브레이크그룹을 통해 매주 팀플했다.우리 팀플하는 동안 교수님 점심드시는거 같았지만 ...ㅎ 교수님이 주어준 양식 제대로 지키면 점수는 잘 나온다. 단, 하나라도 빠트려선 안된다. 하나 빠트리면 거의 7~10점씩 까임무조건 교수님의 메뉴얼대로 해야함이번 학기 특성상 peer review는 없었다! (팀플 참여 잘 안한사람 거를 수 없음)일단 시험없어서 좋은데 과제가 꽤 귀찮... 그치만 나름 유용한 정보 많이 배웠다.
확실히 매주 할 게 많고 매번 팀플이 대부분이라서 조금 버거운 감이 있음. 교수님 과제 채점이나 피드백 보면 깐깐하게 보시는 편인 듯. 마지막 미팅 팀플은 팀 구성원에 따라서 점수가 갈릴 거라 생각함... 영어 잘하는 사람들끼리 하면 최고지만 그게 아니면 성적은 기대 안하는게 좋음
평가가 까다로움 총4번의 main과제 제출 틈틈히 짤짤이 과제가 매주 있음. 과제 많고평가 리얼 까다로움 email적다가 대문자 안고쳐서 7점날아감 꿀은 아님  영어잘하면 씹꿀일수도(외국인과 막힘없이 소통할정도)
왜 꿀이라는지 모르겠음. 과제 채점 깐깐하고 평가마다 peer review가 있는데 절평임에도 불구하고 교수 평가보다 학생 평가가 훨씬 후짐. 제대로 된 평가를 하는것도 아니라, 휴대폰질 하다가 3/5정도의 점수를 투척함. 앞의 모든 과제를 만점받아놔야 같이 듣는 학생들의 학점테러를 견뎌내고 A+를 받을 수 있음. 영어 좀 못하면 A+은 커녕 A0도 절대 못받으니 다른 교양 들으시길. 영어 잘하더라도 다른 학생들이 원한품으면 그대로 처음 받는 성적 받을수 있습니다~ 쌩판 모르는 사이여도요~
교수님 ㅋㅋㅋ 아재개그 엄청나게 귀여우시고 얼굴은 디즈니캐릭터 도날드덕이랑 똑같이 생겼어요 ㅋㅋ 그 눈썹 올라간 화난 도날드덕 ㅋㅋㅋㅋㅋㅋㅋㅋ 영어 좋아하시면 무난하게 한 학기 보낼 수 있어요~ 역시나 꿀강의~! 그리고 수업 때 배우는 내용은 실생활에서도 마구마구 쓸 수 있어요~! 활용도가 매우 좋아요~
시험이 없는 대신 자잘한 과제가 많아요.하지만 시키는 것만 잘 하면 성적 잘 주십니다. 괜찮은 영전이었다고 생각해요.
정말 너무너무 좋았다. 시험없는게 진짜 좋지만과제에 우리 조원 평가를 다른 조원이 하는게 있었는데 교수님은 에쁠주신 반면에 다른 조원은 비쁠줘서내 학점에 큰 영향을 받음. 그것만 빼면 개꿀강
배우는 내용은 그리 어렵지는 않은데, 교수님 자체가 워낙 꼼꼼하게 평가하시는 스타일인 것 같다. 과제가 가끔 좀 귀찮지만 영어 잘 하면 쉽게 쉽게 할 수 있는 과목이라 생각한다. 시험은 없고, 대신 각 항목에 대한 평가가 따로 나뉘어져 있음
영어잘한다면 그냥 거저먹기수업대신 어렵진않은데 과제가많아서 좀귀찮음
글로벌언어 분야 교양을 하나 들어야해서 에타에 올라온 평을 보고 제일 평이 좋은것중에 하나인 이 과목을 들었습니다. 그런데 생각보다? 꿀은 아니었습니다. 의외로 하라는것도 많고 과제 채점도 깐깐하게 하시는 편입니다. 그리고 보통 영어 잘하시는 분들이 많이 와서 다들 영어 실력은 평균 이상입니다.  과제 여러번 있고 중간에 한번 조별로 하나의 주제에 대해서 토론 하는 식으로 다른 학생들이 보고 있는 가운데 교실 한가운데에서 영어로 해야합니다. 촬영도 합니다. 하지만 크게 어렵지는 않고 성적은 나쁘지 않게 주는 편인거 같습니다.
시키는  과제가 다른 영전보다 많다.  그리고 영어 잘하는 사람들이 많아서 채점도 깐깐하게 한다. 영어를  아주 못하는 편은 아닌데 요구하는게 많아  힘들었다. 영어에 아주 자신있지 않은 사람은 듣지 마세요. 얻어가는것은 분명히 있다...
꼭 들으세요!!!!! 출결+하라고 하시는 것만 잘하면 에쁠은 기본입니다!
교수님이 친절하신데 미국식 아재개그를 많이 함. 수업이 좀 지루하고  시키는 것도 은근 많고 형식 엄청 중요시함 그래서 좀 귀찮. 하지만 학점은 잘 나왔다.... 약간 영어공부 하고 싶으면 도움될듯
본인이 영어만 잘하면 학점을 매우 잘 주십니다.
과제가 많고 영어를 잘하는 사람도  많은편이라 영어를 잘 못하는 학생에겐 좀 어려울 수 있는 수업. 교수님은 유쾌하시고 재미있으시지만 채점은 약간 깐깐하게 하시는 편이다. 그래도 B미만이면 과제를다시해 올 수 있는 기회도 한번 주셨고 되도록이면 B미만은 안주시려고 하는것 같다. 얻어가는게 많고 날로먹지 않는 수업이라  꽤 좋았다고 생각한다.
